FEMININO,Antes,Mais,DEPUTADO DISTRITAL,3,2
FEMININO,Antes,Mais,DEPUTADO DISTRITAL,4,1
FEMININO,Antes,Mais,DEPUTADO DISTRITAL,5,9
FEMININO,Antes,Mais,DEPUTADO DISTRITAL,6,39
FEMININO,Antes,Mais,DEPUTADO DISTRITAL,7,20
FEMININO,Antes,Mais,DEPUTADO DISTRITAL,8,63
FEMININO,Antes,Mais,DEPUTADO ESTADUAL,2,5
FEMININO,Antes,Mais,DEPUTADO ESTADUAL,3,44
FEMININO,Antes,Mais,DEPUTADO ESTADUAL,4,116
FEMININO,Antes,Mais,DEPUTADO ESTADUAL,5,48
FEMININO,Antes,Mais,DEPUTADO ESTADUAL,6,408
FEMININO,Antes,Mais,DEPUTADO ESTADUAL,7,171
FEMININO,Antes,Mais,DEPUTADO ESTADUAL,8,785
FEMININO,Antes,Mais,DEPUTADO FEDERAL,0,1
FEMININO,Antes,Mais,DEPUTADO FEDERAL,2,2
FEMININO,Antes,Mais,DEPUTADO FEDERAL,3,15
FEMININO,Antes,Mais,DEPUTADO FEDERAL,4,21
FEMININO,Antes,Mais,DEPUTADO FEDERAL,5,11
FEMININO,Antes,Mais,DEPUTADO FEDERAL,6,146
FEMININO,Antes,Mais,DEPUTADO FEDERAL,7,77
FEMININO,Antes,Mais,DEPUTADO FEDERAL,8,353
FEMININO,Antes,Mais,VEREADOR,0,972
FEMININO,Antes,Mais,VEREADOR,1,27
FEMININO,Antes,Mais,VEREADOR,2,3074
FEMININO,Antes,Mais,VEREADOR,3,21750
FEMININO,Antes,Mais,VEREADOR,4,17579
FEMININO,Antes,Mais,VEREADOR,5,9134
FEMININO,Antes,Mais,VEREADOR,6,47916
FEMININO,Antes,Mais,VEREADOR,7,9288
FEMININO,Antes,Mais,VEREADOR,8,32516
FEMININO,Antes,Menos,DEPUTADO ESTADUAL,3,1
FEMININO,Antes,Menos,DEPUTADO ESTADUAL,4,3
FEMININO,Antes,Menos,DEPUTADO ESTADUAL,6,12
FEMININO,Antes,Menos,DEPUTADO ESTADUAL,7,4
FEMININO,Antes,Menos,DEPUTADO ESTADUAL,8,5
FEMININO,Antes,Menos,VEREADOR,0,54
FEMININO,Antes,Menos,VEREADOR,1,3
FEMININO,Antes,Menos,VEREADOR,2,220
FEMININO,Antes,Menos,VEREADOR,3,1129
FEMININO,Antes,Menos,VEREADOR,4,819
FEMININO,Antes,Menos,VEREADOR,5,417
FEMININO,Antes,Menos,VEREADOR,6,1941
FEMININO,Antes,Menos,VEREADOR,7,360
FEMININO,Antes,Menos,VEREADOR,8,1093
FEMININO,Depois,Mais,DEPUTADO DISTRITAL,3,12
FEMININO,Depois,Mais,DEPUTADO DISTRITAL,4,21
FEMININO,Depois,Mais,DEPUTADO DISTRITAL,5,13
FEMININO,Depois,Mais,DEPUTADO DISTRITAL,6,139
FEMININO,Depois,Mais,DEPUTADO DISTRITAL,7,59
FEMININO,Depois,Mais,DEPUTADO DISTRITAL,8,223
FEMININO,Depois,Mais,DEPUTADO ESTADUAL,1,2
FEMININO,Depois,Mais,DEPUTADO ESTADUAL,2,57
FEMININO,Depois,Mais,DEPUTADO ESTADUAL,3,185
FEMININO,Depois,Mais,DEPUTADO ESTADUAL,4,405
FEMININO,Depois,Mais,DEPUTADO ESTADUAL,5,187
FEMININO,Depois,Mais,DEPUTADO ESTADUAL,6,1936
FEMININO,Depois,Mais,DEPUTADO ESTADUAL,7,641
FEMININO,Depois,Mais,DEPUTADO ESTADUAL,8,2684
FEMININO,Depois,Mais,DEPUTADO FEDERAL,1,1
FEMININO,Depois,Mais,DEPUTADO FEDERAL,2,26
FEMININO,Depois,Mais,DEPUTADO FEDERAL,3,62
FEMININO,Depois,Mais,DEPUTADO FEDERAL,4,151
FEMININO,Depois,Mais,DEPUTADO FEDERAL,5,98
FEMININO,Depois,Mais,DEPUTADO FEDERAL,6,771
FEMININO,Depois,Mais,DEPUTADO FEDERAL,7,340
FEMININO,Depois,Mais,DEPUTADO FEDERAL,8,1198
FEMININO,Depois,Mais,VEREADOR,1,10
FEMININO,Depois,Mais,VEREADOR,2,4450
FEMININO,Depois,Mais,VEREADOR,3,24435
FEMININO,Depois,Mais,VEREADOR,4,23334
FEMININO,Depois,Mais,VEREADOR,5,9679
FEMININO,Depois,Mais,VEREADOR,6,77794
FEMININO,Depois,Mais,VEREADOR,7,10842
FEMININO,Depois,Mais,VEREADOR,8,54309
FEMININO,Depois,Menos,DEPUTADO DISTRITAL,4,3
FEMININO,Depois,Menos,DEPUTADO DISTRITAL,5,1
FEMININO,Depois,Menos,DEPUTADO DISTRITAL,6,11
FEMININO,Depois,Menos,DEPUTADO DISTRITAL,7,3
FEMININO,Depois,Menos,DEPUTADO DISTRITAL,8,7
FEMININO,Depois,Menos,DEPUTADO ESTADUAL,2,14
FEMININO,Depois,Menos,DEPUTADO ESTADUAL,3,37
FEMININO,Depois,Menos,DEPUTADO ESTADUAL,4,54
FEMININO,Depois,Menos,DEPUTADO ESTADUAL,5,22
FEMININO,Depois,Menos,DEPUTADO ESTADUAL,6,246
FEMININO,Depois,Menos,DEPUTADO ESTADUAL,7,44
FEMININO,Depois,Menos,DEPUTADO ESTADUAL,8,87
FEMININO,Depois,Menos,DEPUTADO FEDERAL,2,1
FEMININO,Depois,Menos,DEPUTADO FEDERAL,6,3
FEMININO,Depois,Menos,DEPUTADO FEDERAL,7,1
FEMININO,Depois,Menos,DEPUTADO FEDERAL,8,6
FEMININO,Depois,Menos,VEREADOR,1,7
FEMININO,Depois,Menos,VEREADOR,2,3239
FEMININO,Depois,Menos,VEREADOR,3,10948
FEMININO,Depois,Menos,VEREADOR,4,9332
FEMININO,Depois,Menos,VEREADOR,5,4150
FEMININO,Depois,Menos,VEREADOR,6,28964
FEMININO,Depois,Menos,VEREADOR,7,3066
FEMININO,Depois,Menos,VEREADOR,8,9914
MASCULINO,Antes,Mais,DEPUTADO DISTRITAL,3,17
MASCULINO,Antes,Mais,DEPUTADO DISTRITAL,4,33
MASCULINO,Antes,Mais,DEPUTADO DISTRITAL,5,27
MASCULINO,Antes,Mais,DEPUTADO DISTRITAL,6,141
MASCULINO,Antes,Mais,DEPUTADO DISTRITAL,7,64
MASCULINO,Antes,Mais,DEPUTADO DISTRITAL,8,230
MASCULINO,Antes,Mais,DEPUTADO ESTADUAL,2,30
MASCULINO,Antes,Mais,DEPUTADO ESTADUAL,3,478
MASCULINO,Antes,Mais,DEPUTADO ESTADUAL,4,941
MASCULINO,Antes,Mais,DEPUTADO ESTADUAL,5,459
MASCULINO,Antes,Mais,DEPUTADO ESTADUAL,6,2666
MASCULINO,Antes,Mais,DEPUTADO ESTADUAL,7,1066
MASCULINO,Antes,Mais,DEPUTADO ESTADUAL,8,4170
MASCULINO,Antes,Mais,DEPUTADO FEDERAL,2,7
MASCULINO,Antes,Mais,DEPUTADO FEDERAL,3,155
MASCULINO,Antes,Mais,DEPUTADO FEDERAL,4,321
MASCULINO,Antes,Mais,DEPUTADO FEDERAL,5,149
MASCULINO,Antes,Mais,DEPUTADO FEDERAL,6,946
MASCULINO,Antes,Mais,DEPUTADO FEDERAL,7,485
MASCULINO,Antes,Mais,DEPUTADO FEDERAL,8,2258
MASCULINO,Antes,Mais,VEREADOR,0,3449
MASCULINO,Antes,Mais,VEREADOR,1,179
MASCULINO,Antes,Mais,VEREADOR,2,22309
MASCULINO,Antes,Mais,VEREADOR,3,131758
MASCULINO,Antes,Mais,VEREADOR,4,80634
MASCULINO,Antes,Mais,VEREADOR,5,34827
MASCULINO,Antes,Mais,VEREADOR,6,148087
MASCULINO,Antes,Mais,VEREADOR,7,25395
MASCULINO,Antes,Mais,VEREADOR,8,68930
MASCULINO,Antes,Menos,DEPUTADO ESTADUAL,3,3
MASCULINO,Antes,Menos,DEPUTADO ESTADUAL,4,11
MASCULINO,Antes,Menos,DEPUTADO ESTADUAL,5,3
MASCULINO,Antes,Menos,DEPUTADO ESTADUAL,6,28
MASCULINO,Antes,Menos,DEPUTADO ESTADUAL,7,13
MASCULINO,Antes,Menos,DEPUTADO ESTADUAL,8,13
MASCULINO,Antes,Menos,DEPUTADO FEDERAL,4,1
MASCULINO,Antes,Menos,DEPUTADO FEDERAL,5,1
MASCULINO,Antes,Menos,DEPUTADO FEDERAL,8,2
MASCULINO,Antes,Menos,VEREADOR,0,88
MASCULINO,Antes,Menos,VEREADOR,1,7
MASCULINO,Antes,Menos,VEREADOR,2,718
MASCULINO,Antes,Menos,VEREADOR,3,2954
MASCULINO,Antes,Menos,VEREADOR,4,1420
MASCULINO,Antes,Menos,VEREADOR,5,687
MASCULINO,Antes,Menos,VEREADOR,6,2244
MASCULINO,Antes,Menos,VEREADOR,7,376
MASCULINO,Antes,Menos,VEREADOR,8,851
MASCULINO,Depois,Mais,DEPUTADO DISTRITAL,2,2
MASCULINO,Depois,Mais,DEPUTADO DISTRITAL,3,48
MASCULINO,Depois,Mais,DEPUTADO DISTRITAL,4,100
MASCULINO,Depois,Mais,DEPUTADO DISTRITAL,5,36
MASCULINO,Depois,Mais,DEPUTADO DISTRITAL,6,323
MASCULINO,Depois,Mais,DEPUTADO DISTRITAL,7,125
MASCULINO,Depois,Mais,DEPUTADO DISTRITAL,8,642
MASCULINO,Depois,Mais,DEPUTADO ESTADUAL,1,1
MASCULINO,Depois,Mais,DEPUTADO ESTADUAL,2,144
MASCULINO,Depois,Mais,DEPUTADO ESTADUAL,3,726
MASCULINO,Depois,Mais,DEPUTADO ESTADUAL,4,1594
MASCULINO,Depois,Mais,DEPUTADO ESTADUAL,5,674
MASCULINO,Depois,Mais,DEPUTADO ESTADUAL,6,5675
MASCULINO,Depois,Mais,DEPUTADO ESTADUAL,7,1861
MASCULINO,Depois,Mais,DEPUTADO ESTADUAL,8,8767
MASCULINO,Depois,Mais,DEPUTADO FEDERAL,2,54
MASCULINO,Depois,Mais,DEPUTADO FEDERAL,3,224
MASCULINO,Depois,Mais,DEPUTADO FEDERAL,4,523
MASCULINO,Depois,Mais,DEPUTADO FEDERAL,5,216
MASCULINO,Depois,Mais,DEPUTADO FEDERAL,6,1878
MASCULINO,Depois,Mais,DEPUTADO FEDERAL,7,871
MASCULINO,Depois,Mais,DEPUTADO FEDERAL,8,4347
MASCULINO,Depois,Mais,VEREADOR,1,60
MASCULINO,Depois,Mais,VEREADOR,2,17030
MASCULINO,Depois,Mais,VEREADOR,3,103703
MASCULINO,Depois,Mais,VEREADOR,4,86652
MASCULINO,Depois,Mais,VEREADOR,5,30049
MASCULINO,Depois,Mais,VEREADOR,6,204610
MASCULINO,Depois,Mais,VEREADOR,7,23932
MASCULINO,Depois,Mais,VEREADOR,8,96095
MASCULINO,Depois,Menos,DEPUTADO DISTRITAL,8,1
MASCULINO,Depois,Menos,DEPUTADO ESTADUAL,2,1
MASCULINO,Depois,Menos,DEPUTADO ESTADUAL,3,4
MASCULINO,Depois,Menos,DEPUTADO ESTADUAL,4,11
MASCULINO,Depois,Menos,DEPUTADO ESTADUAL,5,3
MASCULINO,Depois,Menos,DEPUTADO ESTADUAL,6,52
MASCULINO,Depois,Menos,DEPUTADO ESTADUAL,7,15
MASCULINO,Depois,Menos,DEPUTADO ESTADUAL,8,31
MASCULINO,Depois,Menos,DEPUTADO FEDERAL,6,3
MASCULINO,Depois,Menos,DEPUTADO FEDERAL,8,4
MASCULINO,Depois,Menos,VEREADOR,1,4
MASCULINO,Depois,Menos,VEREADOR,2,994
MASCULINO,Depois,Menos,VEREADOR,3,3426
MASCULINO,Depois,Menos,VEREADOR,4,2529
MASCULINO,Depois,Menos,VEREADOR,5,1009
MASCULINO,Depois,Menos,VEREADOR,6,5598
MASCULINO,Depois,Menos,VEREADOR,7,617
MASCULINO,Depois,Menos,VEREADOR,8,2179
NÃO INFORMADO,Antes,Mais,VEREADOR,0,12
NÃO INFORMADO,Antes,Mais,VEREADOR,2,2
NÃO INFORMADO,Antes,Mais,VEREADOR,3,8
NÃO INFORMADO,Antes,Mais,VEREADOR,4,2
NÃO INFORMADO,Antes,Mais,VEREADOR,5,1
NÃO INFORMADO,Antes,Mais,VEREADOR,6,5
NÃO INFORMADO,Antes,Menos,VEREADOR,5,1
